hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
114420,10,1,2.79442920145812e-05,0,0,0.137271150946617,0.653659880161285,0,0,0.00581552134826779,0.185936987400055,0.00962044112384319,0.00615543220192194,0.00151259964331985,0
114216,8,18,0,0,0,0.700218558311462,0.298317939043045,0,0,0,0,0.0012021743459627,0,0.000261342240264639,0
114139,10,16,0,0,0,0.00287014013156295,0.966978132724762,0,0,0.00525300158187747,0,0.00187964108772576,0,0.0230190753936768,0
114341,15,1,0.000105398270534351,0.000661735190078616,0,0.0137299271300435,0.452276229858398,0,0,0.000537531159352511,0.473924666643143,0.0306358933448792,0.0202237870544195,0.00790487043559551,0
114131,10,16,0,0.000314126198645681,0,0.0585884302854538,0.849906086921692,0,0,0.00214451551437378,0.0613422207534313,3.02044427371584e-05,0.00470558786764741,0.0229687821120024,0
113797,15,8,0,0,0,0.0210084803402424,0.458652317523956,0,0,0,0.520339250564575,0,0,0,0
113628,10,18,0,0,0,0.0795438438653946,0.473556131124496,0,0,0.0158722158521414,0.397778153419495,0.000523678259924054,0.0324859172105789,0.000240019187913276,0
113793,10,18,0,0,0,0.27041232585907,0.622862458229065,0,0,0.00246197497472167,0.10290701687336,0,0,0.00135617272462696,0
114450,10,5,0,7.24924102541991e-05,0,0.0246734078973532,0.874865412712097,0,0,0.00372722907923162,0.0510927066206932,0.0105385202914476,0.0132093382999301,0.0218208450824022,0
113981,10,16,0.0110520264133811,0.00317071261815727,0.000269329233560711,0.263917505741119,0.521051049232483,0,0,0.0594019144773483,0.136395707726479,0.00024124413903337,0.00380656588822603,0.000693911337293684,0
113957,10,14,0,0,0,0.1274304240942,0.854151010513306,0,0,0.000475559412734583,0.00540235498920083,0,0.0110379057005048,0.00150276767089963,0
113648,8,16,0.0015285771805793,0,0,0.730270624160767,0.260744839906693,0,0,0.0068861972540617,0,3.92935653508175e-05,0,0.000530463119503111,0
114310,15,14,0,0,0,0.0189878325909376,0.0421974770724773,0,0,0.000188533012988046,0.88840514421463,0.00100550940260291,0.0451620295643806,0.0040534595027566,0
114348,10,6,0.000137635128339753,0.00129701348487288,9.83108038781211e-05,0.018376475200057,0.602140247821808,0,0,0.000471891864435747,0.347042948007584,0.00812047254294157,0.0131495920941234,0.0091654546558857,0
114215,15,5,0,9.29448433453217e-05,0,0.0194878280162811,0.274408668279648,0,0,0.00589465955272317,0.662331104278564,0.00032643080339767,0.0198895130306482,0.0175688620656729,0
114344,15,5,0,1.57343329192372e-05,0,0.00060036574723199,0.149130269885063,0,0,0,0.800836622714996,0.00080677738878876,0.0256273075938225,0.0229829251766205,0
114043,15,1,8.57683559729594e-08,0,0,0.0300256796181202,0.117086887359619,0,0,0.00583138642832637,0.816127240657806,0.000385330233257264,0.0299648158252239,0.000578586594201624,0
114184,10,14,0,0.00214055343531072,0.000331535062287003,0.0538013391196728,0.886907696723938,0,0,0.000256939674727619,0.0506896153092384,0.00138161389622837,0.00207047304138541,0.0024202058557421,0
114256,10,16,0,0,0,0.203811004757881,0.705605506896973,0,0,0.000193914034753107,0.0662019401788712,0.000153321539983153,0.00890607666224241,0.0151281878352165,0
114208,15,5,0,1.0099714017997e-05,0,0.109158985316753,0.401731699705124,0,0,0.030235668644309,0.445123791694641,0.000210410697036423,0.00891548115760088,0.00461379298940301,0
113760,10,14,0,0,0,0.210303798317909,0.768142282962799,0,0,0.00300751882605255,0.0185463652014732,0,0,0,0
113691,10,16,0,0,0,0.134414121508598,0.773566663265228,0,0,0.018073670566082,0.0661943778395653,0.000244790251599625,0.00117172976024449,0.0063346941024065,0
113759,10,18,0,0,0,0.354985594749451,0.590314090251923,0,0,0.000792940380051732,0.0533641278743744,0,0,0.000543292087968439,0
114187,10,14,0,0,0,0.0836613327264786,0.861977696418762,0,0,0.000711935223080218,0.0490490198135376,0,0.00167315453290939,0.00292684463784099,0
114445,15,1,1.35081272674142e-05,0,0,0.150399699807167,0.20732019841671,0,0,0.0174744315445423,0.606191635131836,0.00171403121203184,0.0139012234285474,0.00298529607243836,0
113646,8,1,0.000105155173514504,0.000336496566887945,0,0.798366785049438,0.19258987903595,0,0,0.00830725859850645,0,0,0,0.000294434488750994,0
114085,10,18,0,0,0,0.0325775407254696,0.709000170230865,0,0,0,0.203427046537399,0.0223925691097975,0.0167395379394293,0.0158630963414907,0
114115,10,1,8.1941980170086e-05,0,0,0.123094856739044,0.56391167640686,0,0,0.00546468514949083,0.29635888338089,0.000568472489248961,0.00847236718982458,0.00204714783467352,0
113625,15,18,0,0,0,0.075392484664917,0.189530849456787,0,0,0.00458883913233876,0.706423282623291,0,0.0208201762288809,0.00324433855712414,0
113877,10,17,0,0,0,0.0766097754240036,0.662548661231995,0,0,0.214729815721512,0.0163521803915501,0.00898158084601164,0.004602394066751,0.0161756128072739,0
113738,8,15,0,0,0,0.541811585426331,0.450090438127518,0,0,0,0.00809797458350658,0,0,0,0
114283,15,6,0.000252708152402192,0.000200060603674501,5.79122825001832e-05,0.0193501748144627,0.372726708650589,0,0,0.000752859690692276,0.572164475917816,0.00340103032067418,0.0232864748686552,0.00780762871727347,0
114003,10,6,0.000724317564163357,0.00171410897746682,0.000147485479828902,0.106757186353207,0.828612864017487,0,0,0.00652624387294054,0.0495881699025631,0.000373629882233217,0.00384513731114566,0.00171083153691143,0
113622,15,16,0,0,0,0.0396678298711777,0.346518695354462,0,0,0.012819392606616,0.580338418483734,0.000766433426178992,0.0173337012529373,0.00255553866736591,0
114103,10,18,0,0,0,0.00640468439087272,0.781181216239929,0,0,0,0.197201445698738,0,0.00889081414788961,0.00632181484252214,0
113652,10,16,0,0,0,0.359039694070816,0.639598786830902,0,0,0.000703319441527128,0,5.41014960617758e-05,0,0.000604133354499936,0
114355,10,1,0.000135915659484453,0.00807639211416245,0,0.0241700764745474,0.694096624851227,0,0,0.00020872762252111,0.244927123188972,0.00850353669375181,0.01460369117558,0.00527793914079666,0
113850,10,18,0,0,0,0.212434560060501,0.724597871303558,0,0,0.0216110181063414,0.0327901393175125,0,0.0077611468732357,0.000805283547379076,0
113903,10,1,7.08505176589824e-05,0,0,0.394855141639709,0.42551976442337,0,0,0.00581711623817682,0.168630689382553,9.81007178779691e-05,0.00468133296817541,0.000327002402627841,0
114346,10,1,0.00106046930886805,0.00801384449005127,0.00138909067027271,0.0970298051834106,0.622557103633881,0,0,0,0.246811062097549,0.0136457737535238,0.00949288345873356,0,0
114149,10,1,9.24332343856804e-05,0.00117893901187927,0,0.1198790371418,0.497488379478455,0,0,0.0017469881568104,0.344282329082489,0.000949751469306648,0.0157120805233717,0.0186700560152531,0
113624,10,16,0.00294548482634127,0,0,0.150101855397224,0.552997946739197,0,0,0.0813372209668159,0.1729786247015,0.000284425856079906,0.0287434812635183,0.0106109101325274,0
113724,8,14,0,0,0,0.541264235973358,0.438277751207352,0,0,0.000178586386027746,0.0154179586097598,0,0,0.0048615182749927,0
